question,answer
"When did the American Revolutionary War begin?","1775."
"Who was the commander of the Continental Army?","George Washington."
"What treaty ended the Revolutionary War?","The Treaty of Paris (1783)."
"What was the main reason colonists revolted against Britain?","Taxation without representation."
"What was the Stamp Act?","A British tax on printed materials in the colonies."
"Who rode to warn of the British coming in 1775?","Paul Revere."
"What was the purpose of the First Continental Congress?","To coordinate colonial resistance to Britain."
"What was the purpose of the Second Continental Congress?","To manage the war effort and eventually declare independence."
"What was the significance of the Battle of Saratoga?","It convinced France to support the Americans."
"Which country assisted the colonies during the Revolution?","France."
"What was the Articles of Confederation?","The first U.S. government framework."
"Why was the Articles of Confederation replaced?","It was too weak and gave too little power to Congress."
"What year was the Constitution ratified?","1788."
"Who was the first Chief Justice of the Supreme Court?","John Jay."
"What is the system that prevents one branch of government from becoming too powerful?","Checks and balances."
"What did the 1st Amendment protect?","Freedom of speech, religion, press, assembly, and petition."
"What did the 2nd Amendment protect?","The right to bear arms."
"What did the 4th Amendment protect?","Protection against unreasonable searches and seizures."
"What did the 5th Amendment protect?","The right against self-incrimination and double jeopardy."
"What rebellion showed the weaknesses of the Articles of Confederation?","Shays' Rebellion."
"Who was the second President of the United States?","John Adams."
"What was the XYZ Affair?","A diplomatic conflict between the U.S. and France."
"What was the purpose of the Alien and Sedition Acts?","To restrict dissent against the government."
"Who was the third President of the United States?","Thomas Jefferson."
"What U.S. expedition explored the west after the Louisiana Purchase?","The Lewis and Clark Expedition."
"Who was the fourth President of the United States?","James Madison."
"What caused the War of 1812?","British interference with American trade and sailors."
"What was burned during the War of 1812?","The White House and Capitol."
"What was the outcome of the War of 1812?","It ended in a stalemate but boosted national pride."
"What was the Era of Good Feelings?","A period of national unity during James Monroe’s presidency."
"What was the Missouri Compromise?","A deal to balance free and slave states."
"What was the Monroe Doctrine?","A warning to Europe not to colonize the Americas."
"What invention boosted cotton production?","The cotton gin."
"What was the Indian Removal Act?","A law forcing Native Americans to move west of the Mississippi."
"Who led the Cherokee on the Trail of Tears?","Chief John Ross."
"What religious revival occurred in the early 1800s?","The Second Great Awakening."
"What was the abolitionist movement?","A campaign to end slavery."
"Who published the antislavery newspaper 'The Liberator'?","William Lloyd Garrison."
"Who led a major slave rebellion in 1831?","Nat Turner."
"What was the Seneca Falls Convention?","The first women’s rights convention."
"When was the Seneca Falls Convention held?","1848."
"What was the California Gold Rush?","A mass migration to California starting in 1848."
"What president supported the idea of Manifest Destiny?","James K. Polk."
"What event started the Mexican-American War?","Border disputes along the Rio Grande."
"What was gained from the Mexican-American War?","The Mexican Cession territories."
"What compromise tried to reduce tensions over slavery in 1850?","The Compromise of 1850."
"What was the Fugitive Slave Act?","A law requiring escaped slaves to be returned to their owners."
"What novel increased antislavery sentiment?","Uncle Tom's Cabin."
"Who wrote Uncle Tom’s Cabin?","Harriet Beecher Stowe."
"What political party opposed the expansion of slavery?","The Republican Party."
"Who was elected President in 1860?","Abraham Lincoln."
"What event caused Southern states to secede?","Lincoln's election."
"Which state was the first to secede?","South Carolina."
"What was the capital of the Confederacy?","Richmond, Virginia."
"Who was the president of the Confederacy?","Jefferson Davis."
"Who was the top Confederate general?","Robert E. Lee."
"Who was the top Union general at the end of the war?","Ulysses S. Grant."
"What battle is considered the turning point of the Civil War?","The Battle of Gettysburg."
"What was Sherman's March to the Sea?","A destructive Union campaign through Georgia."
"When was Lincoln assassinated?","April 14, 1865."
"Who assassinated Abraham Lincoln?","John Wilkes Booth."
"What period followed the Civil War to rebuild the South?","Reconstruction."
"What amendment granted citizenship to former slaves?","The 14th Amendment."
"What amendment granted African American men the right to vote?","The 15th Amendment."
"What organization tried to help freed slaves after the war?","The Freedmen’s Bureau."
"What was sharecropping?","A farming system trapping freedmen in debt."
"What laws enforced racial segregation in the South?","Jim Crow laws."
"What Supreme Court case upheld segregation?","Plessy v. Ferguson."
"What invention revolutionized business in the late 1800s?","The telephone."
"Who invented the telephone?","Alexander Graham Bell."
"Who created a mass-production process for automobiles?","Henry Ford."
"What was the Gilded Age?","A period of economic growth and corruption."
"What was the Progressive Era?","A period of reform against industrial problems."
"Who exposed corruption during the Progressive Era?","Muckrakers."
"Who wrote 'The Jungle'?","Upton Sinclair."
"What did 'The Jungle' lead to?","Food safety laws."
"What event started World War I?","The assassination of Archduke Franz Ferdinand."
"When did the U.S. enter WWI?","1917."
"What was the Zimmerman Telegram?","A German attempt to ally with Mexico against the U.S."
"What movement banned alcohol?","Prohibition."
"What amendment started Prohibition?","The 18th Amendment."
"What amendment ended Prohibition?","The 21st Amendment."
"What happened in 1929?","The stock market crashed, starting the Great Depression."
"What region was devastated by the Dust Bowl?","The Great Plains."
"Who was president during the start of the Great Depression?","Herbert Hoover."
"What program helped the U.S. recover from the Depression?","The New Deal."
"What event brought the U.S. into WWII?","The attack on Pearl Harbor."
"When did WWII end?","1945."
"What was the Holocaust?","The genocide of Jews by Nazi Germany."
"Who ordered the dropping of atomic bombs on Japan?","Harry S. Truman."
"What was the Cold War?","A rivalry between the U.S. and Soviet Union."
"What was the Marshall Plan?","Aid to rebuild Europe after WWII."
"What conflict began in 1950 to stop communism?","The Korean War."
"Who led the Montgomery Bus Boycott?","Martin Luther King Jr."
"What Supreme Court case ended school segregation?","Brown v. Board of Education."
"What was the purpose of the March on Washington?","To demand civil rights."
"Who signed the Civil Rights Act of 1964?","Lyndon B. Johnson."
"What war was protested heavily in the 1960s?","The Vietnam War."
"When did the U.S. land on the moon?","1969."
"Who resigned because of the Watergate scandal?","Richard Nixon."
"What was the main goal of the Federalist Party?","To support a strong national government."
"What was the main goal of the Democratic-Republican Party?","To support states’ rights and limited government."
"Who was the first Secretary of State?","Thomas Jefferson."
"What rebellion protested a tax on whiskey in the 1790s?","The Whiskey Rebellion."
"Which event proved the new Constitution was strong?","The suppression of the Whiskey Rebellion."
"What was the significance of Marbury v. Madison?","It established judicial review."
"Who was the chief justice in Marbury v. Madison?","John Marshall."
"What was impressment?","British seizure of American sailors for their navy."
"What ship was attacked, pushing America toward war in 1812?","The USS Chesapeake."
"What was the Hartford Convention?","A meeting of Federalists opposed to the War of 1812."
"What territory became a state as part of the Missouri Compromise?","Missouri."
"What free state entered along with Missouri?","Maine."
"Who invented the telegraph?","Samuel Morse."
"What did Samuel Morse invent?","The telegraph and Morse code."
"What is Morse code?","A communication system using dots and dashes."
"When did the transcontinental railroad finish?","1869."
"Where did the two sides of the transcontinental railroad meet?","Promontory Point, Utah."
"What industry dominated Andrew Carnegie?","Steel."
"What industry dominated John D. Rockefeller?","Oil."
"What is a monopoly?","When one company controls an entire industry."
"What event killed many workers advocating for an 8-hour workday in 1886?","The Haymarket Riot."
"What organization fought for better wages and conditions in the 1800s?","Labor unions."
"What was the Chinese Exclusion Act?","A law banning Chinese immigration in 1882."
"What was the Dawes Act?","A law forcing Native Americans to assimilate."
"What was the purpose of settlement houses?","To help immigrants and the urban poor."
"Who founded Hull House?","Jane Addams."
"What newspaper owners fueled sensationalism in the 1890s?","Joseph Pulitzer and William Randolph Hearst."
"What is yellow journalism?","Exaggerated or misleading news to attract readers."
"What war began after the USS Maine exploded?","The Spanish–American War."
"When was the Spanish–American War?","1898."
"What territory did the U.S. gain after the Spanish–American War?","Puerto Rico, Guam, and the Philippines."
"What was the purpose of the Open Door Policy?","To allow equal trade in China."
"What was the Roosevelt Corollary?","A policy claiming U.S. policing power in Latin America."
"Who built the Panama Canal?","The United States."
"When did construction of the Panama Canal finish?","1914."
"What was the Great Migration?","Movement of African Americans from the South to northern cities."
"What was the Red Scare?","Fear of communism in the U.S."
"What were flappers?","Young women of the 1920s who challenged social norms."
"What was the Scopes Trial about?","Teaching evolution in schools."
"Who was the prosecutor in the Scopes Trial?","William Jennings Bryan."
"Who was the defense lawyer in the Scopes Trial?","Clarence Darrow."
"What event marked the start of WWII?","Germany’s invasion of Poland in 1939."
"What did the Lend-Lease Act do?","Provided U.S. aid to Allies before joining WWII."
"What was D-Day?","The Allied invasion of Normandy on June 6, 1944."
"What was the Manhattan Project?","The U.S. program to build atomic bombs."
"Where were atomic bombs dropped?","Hiroshima and Nagasaki."
"What was the purpose of NATO?","To create a military alliance against the USSR."
"When was NATO founded?","1949."
"What was the GI Bill designed to help with?","Education and housing for WWII veterans."
"What was McCarthyism?","Accusations of communist activity without evidence."
"Who was Joseph McCarthy?","A senator who led anti-communist investigations."
"What space vehicle launched the Space Age in 1957?","Sputnik."
"Which country launched Sputnik?","The Soviet Union."
"What was the Bay of Pigs invasion?","A failed attempt to overthrow Fidel Castro."
"What did the Civil Rights Act of 1964 outlaw?","Racial discrimination in public places."
"What did the Voting Rights Act of 1965 do?","Ended barriers to voting for African Americans."
"What were Freedom Rides?","Bus trips to protest segregated terminals."
"What did Title IX protect?","Equal educational opportunities for women."
"What scandal involved secret arms sales in the 1980s?","The Iran-Contra affair."
"Who was president during the Iran-Contra affair?","Ronald Reagan."
"What movement in 1991 marked the collapse of the Soviet Union?","The fall of communism in Eastern Europe."
"What U.S. military operation expelled Iraq from Kuwait?","Operation Desert Storm."
"What was NAFTA?","A trade agreement between the U.S., Canada, and Mexico."
"Who won the 2000 presidential election?","George W. Bush."
"What issue made the 2000 election controversial?","Florida ballot recount problems."
"What natural disaster devastated New Orleans in 2005?","Hurricane Katrina."
"What was the Patriot Act?","A law expanding government surveillance powers."
"What global financial crisis occurred in 2008?","The Great Recession."
"What is the Affordable Care Act also known as?","Obamacare."
"What was the purpose of the Tea Party movement?","To protest government spending and taxes."
"Who was the first woman to run for vice president on a major party ticket?","Geraldine Ferraro."
"Who was the second woman to run for vice president?","Sarah Palin."
"What was the main goal of the temperance movement?","To reduce or ban alcohol consumption."
"What was the Homestead Act?","A law offering free land to settlers willing to farm it."
"When was the Homestead Act passed?","1862."
"What was the purpose of the Freedmen’s Bureau?","To help former slaves after the Civil War."
"Who was the first African American elected to the U.S. Senate?","Hiram Revels."
"What was the Compromise of 1877?","A deal that ended Reconstruction."
"What type of farming replaced slavery in the South?","Sharecropping."
"What was the goal of the Populist Party?","To help farmers and promote silver over gold."
"What was the Sherman Antitrust Act?","A law banning monopolies."
"What event killed many workers in 1911?","The Triangle Shirtwaist Factory fire."
"What was the purpose of Ellis Island?","To process immigrants entering the U.S."
"What was Angel Island used for?","Immigrant processing on the West Coast."
"What group was unfairly targeted at Angel Island?","Chinese immigrants."
"What amendment banned poll taxes?","The 24th Amendment."
"What was the Great Society?","LBJ’s programs to fight poverty."
"What was Watergate?","A political scandal involving a break-in and cover-up."
"What event forced Nixon to turn over tapes?","The Supreme Court case U.S. v. Nixon."
"Who pardoned Richard Nixon?","Gerald Ford."
"What was the Fair Deal?","Harry Truman’s domestic program."
"What event began the environmental movement?","Publication of 'Silent Spring.'"
"Who wrote 'Silent Spring'?","Rachel Carson."
"What department was created after 9/11?","The Department of Homeland Security."
"What was the purpose of the EPA?","To protect the environment."
"Who negotiated the Camp David Accords?","Jimmy Carter."
"What was the Iran hostage crisis?","When Americans were held captive in Iran for 444 days."
"When did the Iran hostage crisis end?","1981."
"What treaty limited nuclear weapons in the 1970s?","The SALT agreements."
"What event in 1973 caused an energy crisis?","The OPEC oil embargo."
"What year did the United States declare independence?","The United States declared independence on July 4, 1776."
"Who wrote the Declaration of Independence?","Thomas Jefferson wrote the Declaration of Independence."
"What war was fought between the American colonies and Britain?","The American Revolutionary War."
"Who was the first President of the United States?","George Washington was the first president."
"What purchase doubled the size of the United States in 1803?","The Louisiana Purchase."
"From which country did the U.S. buy the Louisiana Territory?","The U.S. bought it from France."
"Who was president during the Louisiana Purchase?","Thomas Jefferson."
"When was the U.S. Constitution written?","It was written in 1787."
"Who is known as the 'Father of the Constitution'?","James Madison."
"What are the first 10 amendments to the Constitution called?","The Bill of Rights."
"What was the main cause of the Civil War?","Slavery and states' rights."
"Who was president during the Civil War?","Abraham Lincoln."
"What year did the Civil War begin?","1861."
"What year did the Civil War end?","1865."
"What document freed the slaves in Confederate states?","The Emancipation Proclamation."
"When was the Emancipation Proclamation issued?","January 1, 1863."
"Which amendment abolished slavery?","The 13th Amendment."
"What was the Trail of Tears?","The forced relocation of Native American tribes, mainly the Cherokee."
"What event began the Great Depression?","The stock market crash of 1929."
"Who was president during most of the Great Depression?","Franklin D. Roosevelt."
"What program did FDR create to help the economy recover?","The New Deal."
"What war did the U.S. enter after the attack on Pearl Harbor?","World War II."
"When was Pearl Harbor attacked?","December 7, 1941."
"What countries made up the Axis Powers in WWII?","Germany, Italy, and Japan."
"What countries made up the Allied Powers?","The U.S., Britain, Soviet Union, China, and others."
"Who was president during WWII?","Franklin D. Roosevelt."
"Who became president after FDR died?","Harry S. Truman."
"Which war was fought to stop the spread of communism in Asia?","The Korean War."
"When did the Korean War begin?","1950."
"When did the Korean War end?","1953."
"What was the Cold War?","A political and military tension between the U.S. and Soviet Union."
"What crisis nearly brought the U.S. and USSR to nuclear war in 1962?","The Cuban Missile Crisis."
"Who was president during the Cuban Missile Crisis?","John F. Kennedy."
"What movement fought against racial segregation and discrimination?","The Civil Rights Movement."
"Who gave the 'I Have a Dream' speech?","Martin Luther King Jr."
"When was the Civil Rights Act passed?","1964."
"What amendment gave women the right to vote?","The 19th Amendment."
"When was the 19th Amendment ratified?","1920."
"Who was the first woman elected to Congress?","Jeannette Rankin."
"What war was highly protested in the 1960s and 70s?","The Vietnam War."
"When did the Vietnam War end?","1975."
"Who was the first African American Supreme Court Justice?","Thurgood Marshall."
"What scandal caused President Nixon to resign?","The Watergate scandal."
"When did Nixon resign?","1974."
"Who became president after Nixon resigned?","Gerald Ford."
"Who was the 40th president of the United States?","Ronald Reagan."
"What was the major conservative movement in the 1980s?","Reaganomics."
"What event symbolically ended the Cold War?","The fall of the Berlin Wall in 1989."
"Who was president during the Gulf War?","George H. W. Bush."
"When did the September 11 attacks occur?","September 11, 2001."
"Who was president during 9/11?","George W. Bush."
"What war began after the 9/11 attacks?","The War on Terror."
"Who was the first African American president?","Barack Obama."
"When was Barack Obama elected?","2008."
"What was the main purpose of the Lewis and Clark Expedition?","To explore the Louisiana Purchase."
"Who did Lewis and Clark rely on as a guide?","Sacagawea."
"What was the Underground Railroad?","A network helping enslaved people escape to freedom."
"Who was the conductor of the Underground Railroad?","Harriet Tubman."
"What was the Boston Tea Party?","A protest where colonists dumped British tea into the harbor."
"When did the Boston Tea Party occur?","1773."
"What was the first permanent English colony in America?","Jamestown, founded in 1607."
"Who was the main author of the Constitution?","James Madison."
"Which war was also called the 'Second War of Independence'?","The War of 1812."
"When did the War of 1812 end?","1815."
"What was the Monroe Doctrine?","A policy opposing European colonialism in the Americas."
"What was Manifest Destiny?","The belief that the U.S. should expand westward."
"Which conflict was sparked by U.S.–Mexican border disputes?","The Mexican–American War."
"When was the Mexican–American War?","1846–1848."
"What territory did the U.S. gain after the Mexican–American War?","California, Nevada, Utah, Arizona, and parts of others."
"What industry led the North during the Industrial Revolution?","Manufacturing and factories."
"What invention revolutionized cotton production?","The cotton gin."
"Who invented the cotton gin?","Eli Whitney."
"What was the abolitionist movement?","A movement to end slavery."
"What was the Seneca Falls Convention?","The first women's rights convention."
"When was the Seneca Falls Convention held?","1848."
"Who was the first U.S. Secretary of the Treasury?","Alexander Hamilton."
"What ship brought the Pilgrims to America?","The Mayflower."
"What was the Mayflower Compact?","A self-government agreement signed by the Pilgrims."
"Which war involved trench warfare and began in 1914?","World War I."
"When did the U.S. enter World War I?","1917."
"What was Prohibition?","A ban on alcohol from 1920 to 1933."
"What was the Harlem Renaissance?","A cultural movement celebrating African American art and music."
"Who was the famous jazz musician known as 'Satchmo'?","Louis Armstrong."
"What was the Dust Bowl?","Severe dust storms that ruined farmlands in the 1930s."
"Who delivered the Gettysburg Address?","Abraham Lincoln."
"When was the Gettysburg Address given?","1863."
"What was the New Deal?","A series of programs to help the U.S. recover during the Great Depression."
"What was the GI Bill?","A law that provided benefits to WWII veterans."
"What was the Space Race?","Competition between the U.S. and USSR to explore space."
"What year did the U.S. land on the moon?","1969."
"Who was the first man on the moon?","Neil Armstrong."
"Which U.S. president was assassinated in 1963?","John F. Kennedy."
"What event triggered the Revolutionary War?","Battles of Lexington and Concord."
"Who wrote 'Common Sense'?","Thomas Paine."
"What was the purpose of the Federalist Papers?","To support the ratification of the Constitution."
"What did the Oath of Allegiance require?","Loyalty to the Union after the Civil War."
"What was the primary goal of Reconstruction?","To rebuild the South and integrate freed slaves into society."
"What were Black Codes?","Laws restricting the freedom of African Americans after the Civil War."
"What was the purpose of the Thirteenth Amendment?","To abolish slavery."
"What was the purpose of the Fourteenth Amendment?","To guarantee equal protection under the law."
"What was the purpose of the Fifteenth Amendment?","To protect voting rights for African American men."
"What was the Ku Klux Klan originally formed to oppose?","Reconstruction policies and African American rights."
"What period was marked by political corruption in the 1870s?","The Grant Administration scandals."
"What was the Crédit Mobilier scandal?","A railroad bribery scheme in the 1870s."
"What was the Panic of 1873?","A major economic depression caused by banking failures."
"What was the Battle of Little Bighorn?","A Sioux victory led by Crazy Horse and Sitting Bull."
"Who led U.S. forces at Little Bighorn?","George Armstrong Custer."
"What was the Dawes Act designed to do?","Break up tribal lands and force assimilation."
"What happened at Wounded Knee in 1890?","A massacre of hundreds of Lakota Sioux."
"What was the Ghost Dance movement?","A Native American spiritual revival for hope and resistance."
"What was sharecropping?","A farming system keeping many freed slaves in debt."
"What was the purpose of the 1896 Plessy v. Ferguson ruling?","To uphold 'separate but equal' segregation laws."
"What was the main goal of the Progressive Movement?","To address social and economic problems caused by industrialization."
"What was a muckraker?","A journalist who exposed corruption and social problems."
"What issue did Jacob Riis expose?","Living conditions in tenements."
"What did Ida Tarbell expose?","Monopolistic practices of Standard Oil."
"What natural disaster destroyed Galveston, Texas, in 1900?","A massive hurricane."
"What amendment created the federal income tax?","The 16th Amendment."
"What amendment changed how senators were elected?","The 17th Amendment."
"What amendment established Prohibition?","The 18th Amendment."
"What amendment granted women the right to vote?","The 19th Amendment."
"What was the purpose of the Federal Reserve Act of 1913?","To regulate the banking system."
"What was the Lusitania?","A British ship sunk by Germany in 1915."
"What event pushed the U.S. toward WWI?","Germany’s unrestricted submarine warfare."
"What was the Selective Service Act?","A law requiring men to register for the military draft."
"What was the Espionage Act of 1917?","A law limiting antiwar speech during WWI."
"What epidemic struck the world in 1918?","The Spanish Flu."
"What was the main purpose of Wilson’s Fourteen Points?","To promote peace after WWI."
"What organization was created after WWI to prevent war?","The League of Nations."
"Why didn’t the U.S. join the League of Nations?","Congress opposed the treaty."
"What was the Teapot Dome scandal?","A bribery scandal involving federal oil reserves."
"What invention popularized mass entertainment in the 1920s?","The radio."
"What was the Harlem Renaissance known for?","African American cultural achievements."
"Who was a famous poet of the Harlem Renaissance?","Langston Hughes."
"Who was a famous musician of the Harlem Renaissance?","Duke Ellington."
"What event caused thousands of banks to close in the 1930s?","The Great Depression."
"What was the main purpose of the New Deal?","To provide jobs and economic relief."
"What did the Social Security Act establish?","Retirement and unemployment benefits."
"What was the Dust Bowl mainly caused by?","Drought and poor farming practices."
"What region was hardest hit by the Dust Bowl?","Oklahoma, Texas, Kansas, and surrounding areas."
"What was the Neutrality Act?","Laws meant to keep the U.S. out of foreign wars."
"What program provided military aid to Allied nations before WWII?","Lend-Lease."
"What was the Holocaust?","The systematic murder of six million Jews."
"What was the purpose of Japanese internment?","To detain Japanese Americans during WWII."
"What Supreme Court case upheld Japanese internment?","Korematsu v. United States."
"What was the purpose of the Marshall Plan?","To rebuild Europe after WWII."
"What did the Truman Doctrine promise?","To support countries resisting communism."
"What was the Berlin Airlift?","Delivering supplies to West Berlin during a Soviet blockade."
"What was the Iron Curtain?","The dividing line between communist and non-communist Europe."
"What was the purpose of the CIA?","To gather foreign intelligence."
"What was the purpose of NATO?","To defend Western nations against the Soviet Union."
"What war began when North Korea invaded South Korea?","The Korean War."
"Who was the U.S. general fired by President Truman?","Douglas MacArthur."
"What court case overturned school segregation?","Brown v. Board of Education."
"What was the Little Rock Nine?","Students integrating Central High School in 1957."
"What protest sparked the Montgomery Bus Boycott?","Rosa Parks refusing to give up her seat."
"What method did Martin Luther King Jr. support?","Nonviolent protest."
"What group used more militant methods for civil rights?","The Black Panther Party."
"What event nearly caused nuclear war in 1962?","The Cuban Missile Crisis."
"What invasion of Cuba failed in 1961?","The Bay of Pigs invasion."
"What president signed Medicare and Medicaid into law?","Lyndon B. Johnson."
"What act ended immigration quotas in 1965?","The Immigration and Nationality Act."
"What was the Gulf of Tonkin incident?","An event that escalated U.S. involvement in Vietnam."
"What major offensive by North Vietnam occurred in 1968?","The Tet Offensive."
"What event caused widespread protests at Kent State University?","Shooting of students during antiwar demonstrations."
"What scandal caused President Nixon to resign?","Watergate."
"What were the Pentagon Papers?","Documents showing the government misled the public about Vietnam."
"What was détente?","Easing tensions between the U.S. and USSR."
"What was the purpose of the Environmental Protection Agency (EPA)?","To regulate environmental issues."
"What crisis occurred in 1973 due to Middle Eastern politics?","The Oil Embargo."
"What agreement was signed between Israel and Egypt in 1978?","The Camp David Accords."
"What accident occurred at a nuclear plant in 1979?","The Three Mile Island incident."
"What economic issue plagued the U.S. in the 1970s?","Stagflation."
"What movement demanded equal rights for women in the 1970s?","The Women's Rights Movement."
"What was the Equal Rights Amendment (ERA)?","A proposed amendment guaranteeing gender equality."
"What program did Reagan support to reduce taxes and regulation?","Reaganomics."
"What project aimed to develop space-based missile defense?","The Strategic Defense Initiative."
"What disaster destroyed the Challenger space shuttle?","A failed launch in 1986."
"What scandal involved illegal arms sales to Iran?","Iran-Contra."
"What event symbolized the end of the Cold War?","The fall of the Berlin Wall."
"When did the Soviet Union collapse?","1991."
"What was Operation Desert Storm?","A mission to drive Iraq out of Kuwait."
"Who signed the North American Free Trade Agreement (NAFTA)?","Bill Clinton."
"What event occurred on September 11, 2001?","Terrorist attacks on the U.S."
"What new cabinet department was created after 9/11?","The Department of Homeland Security."
"What was the purpose of the Iraq War?","To remove Saddam Hussein and eliminate alleged WMDs."
"What was the Great Recession?","A major economic downturn starting in 2007–2008."
"What was the purpose of the Affordable Care Act?","To expand healthcare access."
"Who became the first African American president?","Barack Obama."

